id,age,GoldMSI,DFS_Total,trait_anxiety,openness
1,24,5.61,30.5,54,5.5
2,30,5.44,29.25,66,5
3,25,5.06,27.5,58,4.5
4,22,5.56,33,44,6
5,18,4,31,52,6.5
6,20,6,34.25,45,5.5
7,23,5.33,30.25,41,6.5
8,23,6.11,34.5,36,6.5
9,20,4.17,25,52,5.5
10,25,5.83,29.75,47,6
11,22,5.89,29.5,64,6
12,28,5.78,30.5,51,4
13,23,6.28,38,54,6
14,27,5.22,30.25,41,4.5
15,22,5.44,35.25,25,5.5
16,20,5,32.75,43,5.5
17,30,5.22,29.5,31,6
18,28,6.39,28.5,44,6.5
19,43,5,34,54,4.5
20,31,5.28,33.5,56,5.5
21,28,6,28.75,54,7
22,37,6.28,35.5,38,6.5
23,18,6.06,33,31,7
24,21,5.72,31.5,49,5.5
25,38,4.89,28,48,4.5
26,27,5.5,30.25,61,4.5
27,23,5.5,29,57,5.5
28,21,5.67,29,43,6.5
29,25,4.83,42.75,53,7
30,27,5.39,35.5,33,6.5
31,21,5.61,33.5,44,6
32,26,4.89,35.5,37,7
33,40,5.28,31.75,43,6
34,23,4.61,36,62,6.5
35,26,4.78,34.25,48,6
36,20,5.61,29.25,61,3
37,31,6,38,38,6.5
38,29,4.94,35.25,44,5.5
39,24,5.61,31,55,7
40,22,4.83,31.25,54,5
41,22,6,34.5,47,6
42,24,6,25.25,40,6.5
43,25,5.5,35.75,48,5
44,21,5.44,37.5,52,6.5
45,21,4.72,33.25,42,6
46,26,6.72,26.75,61,5.5
47,20,5.78,34,60,5.5
48,27,4.56,26.75,64,5.5
49,22,4.5,29.75,68,6.5
50,28,6.06,31.25,54,6.5
51,23,4.39,33.5,52,3.5
52,24,5.56,34.75,60,4
53,21,5.5,34.75,51,5
54,23,5.28,30.5,55,7
55,24,5.06,28,56,6.5
56,20,4.89,33.75,56,4.5
57,27,5.78,43.5,30,5.5
58,20,6.06,32.75,55,6.5
59,21,5.89,35.25,34,6
60,43,5.11,29,50,5
61,27,4.44,26,43,4.5
62,20,5.83,38.5,54,5
63,23,5.28,39.5,45,7
64,23,4.67,32.25,25,5
65,34,4.56,34.5,40,5.5
66,23,5.06,30.25,57,5.5
67,23,6.22,29.75,54,6.5
68,45,5,30,53,6.5
69,24,5.94,37.75,53,7
70,27,5.5,30.75,41,6
71,28,4.39,23.25,72,6
72,29,4.94,28.75,46,7
73,34,6.17,35,33,6.5
74,27,3.72,29.25,51,6
75,19,5.67,24,68,6.5
76,28,5.61,30,52,6
77,33,5,30.75,58,5
78,22,4.72,31,42,6
79,34,5.61,26.5,55,6
80,25,5.83,30.75,42,7
81,21,5.78,34.75,44,7
82,19,4.89,28.5,47,5
83,46,4.94,35.75,34,6.5
84,23,4.78,31.5,41,6.5
85,27,5.56,32.5,40,6
86,22,4.83,29,45,6.5
87,25,4.89,29.75,51,6.5
88,19,5.28,29.5,44,4.5
89,29,5.44,36.75,58,6
90,28,5.5,31.5,49,6
91,22,6.5,35.75,69,6.5
92,28,4.56,29.5,34,5
93,25,4.78,24.92,53,5.5
94,31,4.5,31.5,52,6
95,30,5.72,34.75,50,6
96,31,5.39,32,41,5.5
97,18,5.67,37.5,31,6
98,52,4.67,31.5,42,5.5
99,24,5.83,29.08,62,7
100,19,5.39,30.5,38,5
101,20,5.33,29.75,45,5.5
102,29,5.78,35.75,53,6
103,18,5.61,33.5,35,6.5
104,22,6.72,33.75,56,6.5
105,19,5.83,35.5,45,6
106,20,5.17,32.5,31,4.5
107,25,5.78,35.5,34,6
108,21,5.72,34.75,39,6.5
109,22,5.39,26.25,63,6
110,39,5.06,35.5,57,6
111,28,5.33,28,54,6.5
112,39,6.17,35.75,53,3.5
113,25,4.06,36.5,36,6.5
114,21,6.67,26.75,52,6.5
115,25,5,28.5,52,6.5
116,22,5.28,31.75,35,5.5
117,38,5.44,29.5,46,6
118,20,6.39,41.75,38,6
119,30,5.33,29,62,5
120,26,4.67,32.75,50,4
121,31,5.22,30,46,5
122,27,5.33,31.5,35,6.5
123,30,5.56,28.75,41,5
124,26,4.33,30,41,6
125,29,4.78,33.75,54,6.5
126,20,4.83,25.75,58,6
127,27,5.56,34,57,6.5
128,21,5.44,32.5,59,5
129,23,5.56,28.5,59,5
130,29,4.94,33.5,49,5.5
131,31,5.22,28.75,38,7
132,19,6,37.25,43,5.5
133,28,4.5,26.5,45,5.5
134,21,5.83,32.25,56,6.5
135,24,5.39,33.75,51,6
136,42,6.06,30,38,5.5
137,29,6.39,32.75,57,6
138,19,4.78,29,62,5.5
139,23,5.61,37.5,34,5
140,23,5.44,34.5,41,4.5
141,30,6,36,45,7
142,34,5.33,31.5,55,6.5
143,42,5.28,39,61,7
144,24,5.72,33,37,5.5
145,33,5.83,28.25,51,6.5
146,25,5.72,29.5,52,6.5
147,22,4.56,33.25,57,5.5
148,26,5.83,37,61,6
149,29,5.06,33.75,36,5.5
150,22,5.61,29.75,42,6.5
151,26,4.94,24,44,4.5
152,30,6.17,31.25,54,7
153,21,5.78,30.25,49,6
154,20,4.61,33.75,38,5.5
155,27,4.44,32.25,50,5
156,24,4.94,33.25,36,6.5
157,29,5.11,29.75,58,5.5
158,23,6,38,30,7
159,36,5.44,31.25,51,6
160,22,5.17,25.25,68,4.5
161,27,6.22,28.75,58,7
162,25,4.56,36.25,54,5.5
163,32,5.33,28.75,56,5
164,19,5.44,33.25,55,6.5
165,20,5.72,35,44,6.5
166,25,4.67,32.75,50,6
167,25,5.39,33,38,6.5
168,18,5.17,31.5,26,6.5
169,25,4.5,30.5,63,5.5
170,23,5.5,29.75,46,5
171,33,4.06,25,45,6
172,36,4.89,31,38,5.5
173,21,6.17,33.5,52,6.5
174,26,4.67,30.5,45,6.5
175,22,6,35.25,57,7
176,26,5.06,31,39,5.5
177,31,6.11,34.75,56,7
178,31,5.22,32.5,38,6
179,22,5.11,30,47,6.5
180,45,6.11,34.5,39,6
181,25,4.78,32.5,45,6
182,21,6.78,40,61,7
183,34,5.78,34.25,34,4.5
184,30,4.94,37.75,32,6
185,24,5.28,27.5,64,3
186,20,6.28,40.75,37,5.5
187,25,5.11,29.25,53,6
188,24,5.33,30.25,52,6.5
189,61,4.89,33.5,59,7
190,33,5.44,31.5,53,6.5
191,19,5.39,29.5,53,6.5
192,28,5.11,31.5,49,7
193,25,5.39,30,54,6
194,23,5.39,34,49,6.5
195,22,5.11,34.25,47,5.5
196,21,6.67,33.75,59,6.5
197,19,5,27,62,4.5
198,27,4.5,26.5,50,6.5
199,19,4.89,29.25,51,5
200,21,4.56,26.92,40,6
201,27,5.83,35.5,48,4.5
202,29,6.22,29.5,44,6
203,20,4.28,35,39,6.5
204,29,4.39,30.25,42,5
205,18,4.61,38.25,48,6.5
206,22,5.17,35.75,69,5.5
207,31,5.83,34,30,3.5
208,28,6.5,33.5,42,5.5
209,21,5.44,27,71,4
210,22,6.39,35.75,55,7
211,29,5.39,29,51,6
212,29,6,31.25,43,6
213,21,4.67,28.25,41,6
214,18,4.94,27,59,7
215,24,5.83,34.75,56,6.5
216,18,5.61,35.5,33,7
217,29,5.17,26.75,52,4.5
218,20,5.22,32.25,45,5.5
219,24,5.83,35.25,37,6
220,23,5.89,35.5,42,6.5
221,22,5.44,30.5,49,7
222,20,5.83,31.75,38,7
223,34,5.78,30.75,35,7
224,19,4.83,32.25,43,6.5
225,23,5.06,32.75,63,7
226,19,6.72,42.5,32,6
227,27,5.17,33.25,40,5.5
228,22,5.39,35.5,40,5
229,31,4.78,34.5,59,6.5
230,21,5.33,30.5,64,4
231,30,5.89,37.5,28,7
232,26,5.44,36.5,38,4.5
233,38,6.5,36.75,61,7
234,30,5.44,28,52,6.5
235,27,5.89,33.25,39,6
236,23,5.78,28.5,57,5.5
237,22,5.94,28.5,60,5.5
238,23,4.78,28.25,50,4
239,23,5.06,24,48,4.5
240,21,5,31.5,49,3
241,25,5.61,32.5,53,6
242,32,6.11,34,40,5.5
243,20,5.44,31.5,43,6
244,19,6.22,38,29,6.5
245,22,5.06,30.25,41,5.5
246,24,5.5,31.5,57,4
247,21,5.33,37.25,48,4.5
248,28,6.22,43.25,29,7
249,40,5.94,31.75,47,7
250,20,5.06,28.5,62,5.5
251,24,5.78,35.25,44,7
252,32,5.67,28.25,50,6
253,32,5.28,32.25,43,6.5
254,28,6,30.25,55,7
255,28,5.28,29.75,36,6
256,32,4.44,31.25,47,6
257,19,4.5,34.75,37,6
258,55,5.72,31.25,52,4.5
259,30,6.17,42.75,44,5
260,24,5.17,29,55,6.5
261,38,5.72,31.5,40,5
262,34,5.94,40.75,44,7
263,24,5.61,35.5,52,7
264,29,4.89,16.5,41,6
265,25,5,33.5,31,6.5
266,22,6.39,34,60,6
267,27,5.06,32.5,34,5.5
268,25,6.06,35,37,7
269,24,5.33,28.25,27,7
270,22,5.83,34.25,37,7
271,33,6,34.25,49,7
272,21,6.06,39.75,45,7
273,26,5.5,33.25,37,5.5
274,39,6.67,38.08,39,6.5
275,33,6.11,37.5,40,6
276,21,5.44,21.25,59,6.5
277,23,5.44,34,37,6.5
278,22,5.61,41.25,47,7
279,27,5.5,33.25,27,4.5
280,33,4.89,25.25,57,5.5
281,37,4.5,36.5,29,7
282,25,4.67,28.5,54,7
283,23,5.83,30.5,50,5.5
284,33,4.33,32.25,42,4.5
285,33,5.94,29.5,50,6
286,46,6.5,37,58,6
287,27,4.83,27.25,54,4
288,30,6.22,39,46,6
289,35,5.5,32.25,50,6.5
290,22,6.22,38.25,33,6.5
291,32,5.5,27.75,49,4
292,34,5.78,26.5,35,6.5
293,31,5.39,32.25,47,7
294,21,5.44,29.5,50,6.5
295,21,5.83,36.5,35,6
296,23,6.11,36.5,44,7
297,25,5.67,30.5,47,5
298,31,5.33,31,52,5.5
299,21,5.11,29.25,45,5.5
300,29,5.5,32.75,34,6.5
301,27,6.28,29.75,45,6
302,27,4.78,30.25,37,6
303,18,5.17,30.25,55,4
304,20,6.28,30,44,7
305,22,5.78,30,38,5
306,46,6,29.75,48,6.5
307,29,5.39,32.5,54,6
308,24,4.83,32.5,43,7
309,24,5.56,31.25,55,6
310,27,5.67,35,58,4.5
311,24,6.33,36.25,30,6.5
312,18,5.78,28,56,5.5
313,20,4.67,35,30,5.5
314,22,5.83,28.5,59,6
315,24,5.61,29.5,57,5.5
316,23,4.56,28.25,40,5.5
317,26,5.44,36,46,6.5
318,23,5.78,37.75,45,7
319,29,5.94,33.25,47,6
320,49,5.72,36.5,30,6.5
321,26,4.83,28.25,49,5
322,21,5.56,37.25,45,6.5
323,23,5.78,30.5,49,6.5
324,25,4.83,30.25,49,5
325,33,5.61,32,39,5.5
326,26,6,37,28,7
327,21,6,27.75,42,6.5
328,42,5.11,32,45,5.5
329,24,5.61,31.25,37,7
330,22,6.22,27.75,39,7
331,22,4.83,30.25,35,4.5
332,20,5.94,29.75,56,6.5
333,27,6.17,38,56,7
334,35,5.39,35,42,5
335,19,3.94,33,44,4.5
336,59,5.61,27,46,6
337,32,6.22,34.75,29,6.5
338,23,6.61,37.5,37,7
339,23,6.06,31.5,45,7
340,18,5.44,39.5,66,7
341,28,5.5,34.75,50,6
342,20,6.17,31.75,57,6.5
343,25,4.33,25.5,71,3.5
344,18,5.44,37,48,4
345,23,4.28,32.75,39,7
346,27,5.39,24.75,64,6.5
347,30,3.78,31.75,25,5
348,43,3,21.75,55,4.5
349,24,4.39,29.5,55,5
350,25,5.5,26,56,4.5
351,43,3.89,27.25,56,6.5
352,25,4.83,24.5,48,5
353,22,5.67,37.25,42,6
354,25,4.11,25.5,55,5.5
355,25,5.56,34.5,46,6.5
356,24,4.44,28.75,59,6
357,37,4.94,37.5,31,5
358,31,5.78,36.75,48,5.5
359,40,5.61,34.25,56,7
360,24,4.33,28.25,45,6
361,24,6.06,29.5,56,5.5
362,22,6.06,36,37,6
363,32,4.22,29.5,38,7
364,28,5.56,30.25,47,6.5
365,32,4.5,28.25,43,6
366,22,5.33,29.25,54,6.5
367,24,4.94,30.75,72,3.5
368,27,6.22,30.25,59,6.5
369,22,5.67,33.5,46,6
370,20,6.22,34,45,6.5
371,22,6.44,33,40,6.5
372,22,4.78,27.25,52,6
373,25,5.89,28.5,47,6.5
374,29,5.33,37.75,32,6
375,30,5.78,33,57,4
376,20,6.11,32.75,46,6
377,29,5.5,27.75,56,6
378,32,4.83,29,38,2
379,27,5,34.75,47,5.5
380,21,5.61,35.25,62,5.5
381,25,6.33,39.75,52,7
382,21,4.56,34,72,6
383,18,4.5,32.5,38,5.5
384,19,5.67,36.5,42,6.5
385,22,5.06,35,37,6.5
386,36,5.67,30.25,55,5.5
387,19,4.67,30.17,58,6.5
388,40,4.44,33.75,49,6.5
389,19,5.28,29.75,53,6
390,45,5.44,37.75,33,7
391,20,6.22,32.75,52,6
392,36,4.94,26.75,57,6.5
393,33,5.33,35.75,56,6.5
394,29,4.44,26.25,45,5.5
395,30,4.78,33.5,28,6.5
396,32,5.22,32,50,6
397,20,4.89,26.5,71,6
398,26,4.94,34.5,48,5
399,27,4.67,33.75,61,5
400,21,5.83,33.25,41,6
401,28,5.39,33.75,36,5.5
402,20,5.39,32.5,35,6.5
403,27,4.78,34.25,51,3.5
404,28,5.67,25.25,64,5.5
405,56,5.17,32,50,7
406,20,5.33,32.25,49,6
407,39,5.83,39.5,32,6.5
408,23,5.06,29.5,56,6
409,35,4.83,28,37,6.5
410,28,5,26.5,52,5.5
411,27,5.67,29.5,62,5.5
412,23,4.72,30,51,6
413,31,5.83,29.5,52,7
414,24,5.22,26.25,61,6
415,28,5.44,31,37,6.5
416,22,4.44,30,37,5
417,26,6.28,36.25,54,6
418,29,5.78,32.5,65,6
419,30,5.06,34.25,54,6
420,26,5.78,25.75,54,6
421,24,5,31.25,40,4
422,27,5.56,29.25,56,7
423,31,6.33,32,47,4.5
424,24,5.11,30.5,60,5.5
425,27,5,23.5,59,5.5
426,27,5.94,31.75,34,6
427,25,4.89,34.5,39,6
428,33,4.28,30.25,43,6.5
429,35,5.33,37.5,38,7
430,21,5.61,25.5,61,6
431,22,5.72,32.75,39,7
432,25,5,28.75,52,5
433,29,6.33,35,32,5.5
434,25,4.5,29.75,61,6
435,22,5.44,32,60,4.5
436,29,6.22,40.25,41,6
437,24,4.94,26,58,4
438,20,5.44,30.25,55,5
439,18,5.44,34.25,54,6
440,29,5.72,33.5,49,5
441,46,5.61,29.5,58,6.5
442,20,5.11,26.25,60,7
443,21,5.11,36.25,37,7
444,28,5.72,30.25,47,6
445,23,4.83,29.25,65,6.5
446,44,6.11,30.5,53,7
447,23,5.83,36.25,44,6
448,26,5.78,33.5,36,6
449,22,6.28,28.5,58,5.5
450,27,5.61,29.25,38,5
451,28,5.89,32.5,47,6
452,33,5.39,31,50,5
453,28,6.11,34.5,42,5.5
454,22,5.78,32.25,63,6.5
455,22,5.67,32.5,53,6
456,26,5.17,36,59,5
457,24,5.83,35.75,51,5
458,25,5.39,35,44,7
459,33,5.28,29.25,43,6
460,22,4.94,32,36,5
461,21,5.72,27.75,61,5.5
462,29,5.72,34.75,63,7
463,27,5.11,34.25,51,6
464,21,5.83,34.75,35,6.5
465,21,6.11,33,50,5
466,30,6.33,35.5,54,6.5
467,22,5.5,30.75,49,3
468,22,5.89,34,60,5.5
469,20,5.11,30.25,59,5.5
470,30,4.78,30.25,47,5.5
471,21,5.39,32.75,57,4
472,22,6.28,32.5,46,6.5
473,21,4.61,30.75,48,5.5
474,18,5.94,37,59,6.5
475,29,5.44,32.25,60,7
476,22,5.67,33.25,55,5
477,41,6.44,42.25,34,7
478,25,5.72,27.5,64,6
479,20,6.17,30.5,51,6.5
480,26,5,34.5,41,5
481,31,4.11,33.25,32,6
482,30,4.39,31.75,44,6
483,21,5.44,25.75,41,5
484,25,6.11,34.5,36,5
485,28,4.17,32.5,50,5.5
486,29,6.61,36.25,42,7
487,52,4.56,37,40,5
488,36,5.67,29,46,5.5
489,24,6.17,32.25,71,7
490,24,5.28,33.25,67,6.5
491,19,4.17,29,58,4.5
492,29,6,32.25,53,4
493,21,5.33,32.5,33,5
494,28,4.5,27,60,5
495,29,5.67,33.5,48,6
496,30,5.22,30,41,7
497,24,5.72,33.5,53,7
498,41,5.44,36.75,40,7
499,25,6.39,39,51,6.5
500,35,4.72,27,31,6.5
501,25,4.94,33.75,43,6
502,22,4.33,28.25,43,5
503,28,4.17,25.5,61,4
504,39,5.61,33,39,7
505,37,5.28,30.5,65,6
506,21,5.33,25,64,6
507,21,5,29.25,54,5
508,24,5.11,32.25,51,5
509,25,5.28,29.75,61,3.5
510,24,6.56,36,47,6
511,26,5.11,33.25,40,6
512,21,5.06,35.25,51,7
513,30,4.78,33,26,6.5
514,29,4.5,26.5,53,4.5
515,25,4.89,32.25,51,4.5
516,24,5.83,28.75,56,6.5
517,28,4.61,30.25,55,5.5
518,21,5.67,28.25,45,7
519,18,4.89,30.25,47,4.5
520,23,4.94,25.25,69,6
521,21,5.22,31.5,47,5
522,20,4.89,33,39,6
523,33,6,33.5,38,7
524,19,5.78,31.75,40,5
525,27,6.22,35.75,33,6.5
526,21,5.67,31.75,47,6
527,18,5.83,33.5,40,6
528,24,5.72,30.25,65,2.5
529,18,5.28,25.75,53,5.5
530,24,5.17,28.75,49,4.5
531,22,5.56,36,56,4.5
532,18,5.72,31.75,45,6
533,24,5.39,32.25,61,6.5
534,25,5.44,30,77,5
535,22,5.39,31.25,51,5.5
536,25,5.22,29,45,5.5
537,25,5.33,31.75,53,6
538,20,5.89,36.25,29,4.5
539,25,5.5,41.75,48,2.5
540,23,4.17,22.5,68,5
541,21,5.83,28,42,6.5
542,18,6.72,36.75,55,7
543,22,4.83,30.25,37,5.5
544,24,5.5,33.25,46,6
545,22,5.5,33.75,58,5
546,18,5.33,27.5,60,5
547,18,5.33,29.5,36,6
548,28,5.72,36.25,30,5.5
549,21,5.56,29.5,58,6
550,27,5.72,29.75,58,6.5
551,20,4.78,35.75,46,6
552,18,5.89,33.5,57,7
553,20,6.17,35.5,43,6.5
554,29,5.5,32.25,41,6.5
555,24,5.67,39.5,64,6
556,25,4.67,30,56,5.5
557,30,5.17,33.75,41,4
558,21,5.61,40.5,54,4.5
559,19,5.17,30.5,44,5
560,25,6.5,32.25,54,7
561,18,5.28,32.25,58,3
562,30,5.06,32.75,49,4
563,20,6.56,36,55,6.5
564,21,6.33,34,30,7
565,26,5.61,36.5,41,5.5
566,21,4.67,27.25,73,5
567,19,5.06,34.25,49,6.5
568,23,5.17,28.75,66,6
569,22,5.28,29.5,60,6.5
570,27,6.17,40.75,27,6.5
571,31,5.89,33.25,47,7
572,20,6.06,38.5,44,7
573,22,5.22,29.25,42,6.5
574,25,5.17,32,53,6
575,27,4.72,33.5,59,7
576,21,5.06,28.5,57,4
577,25,4.83,30.75,48,4
578,36,4,27.75,59,5.5
579,27,5.06,29.5,58,6
580,21,5.39,27.5,71,6
581,20,5.83,33.75,36,6
582,28,6.22,32.5,42,7
583,39,4.83,31.25,44,5.5
584,23,6,34.75,41,7
585,19,5.5,31.75,28,7
586,20,5.22,29.25,42,6.5
587,27,5.33,35.75,52,6
588,27,3.39,18.25,58,4.5
589,24,6.06,31.5,41,5.5
590,20,5.56,34,54,6
591,25,6.11,28.25,58,7
592,31,5,28,60,5.5
593,20,5.06,32,49,6
594,31,4.89,31.5,47,5
595,28,6.06,34.5,37,7
596,37,5.83,29.25,40,6.5
597,27,5.78,29.25,42,5
598,30,5.44,37.25,52,6.5
599,22,5.28,28.75,49,4.5
600,27,5.33,32,60,6
601,21,5.33,33.25,35,6.5
602,37,4.78,27,43,6
603,27,6.11,35.25,50,5.5
604,19,5.44,33.75,55,5.5
605,34,6.61,30.25,56,7
606,19,6.11,34,55,7
607,26,5.5,31.75,45,7
608,24,5.94,29,58,5
609,20,5.83,36.75,42,7
610,46,5.17,24.5,55,3.5
611,19,5.22,30,59,5.5
612,18,6.72,35.5,47,7
613,28,4.94,31.5,47,6
614,34,4.61,25.25,42,5
615,21,5,33.75,43,6
616,23,6.5,35.25,61,5.5
617,21,5.67,31,60,5.5
618,23,4.72,34.75,39,4.5
619,23,4.78,33.5,40,6
620,22,5.5,33,39,5
621,22,5.61,31.25,61,5
622,27,5.89,35,29,6.5
623,39,6.33,35.75,36,7
624,23,5.67,29.75,59,4.5
625,21,5.22,27.25,55,6
626,24,4.78,35.5,39,6
627,40,4.11,20.75,39,7
628,23,4.94,29.75,60,3.5
629,20,4.28,24.5,49,6.5
630,27,4.56,29.5,47,5.5
631,29,5.78,32.5,34,5
632,22,6.17,31.75,55,6
633,29,5.83,32,54,6
634,31,3.89,25.25,52,5
635,35,4.94,31.5,40,6.5
636,27,6.33,36,38,6.5
637,45,5.83,25.75,45,6.5
638,21,5.33,32.75,39,6
639,28,6.17,40,56,6.5
640,25,5.67,39.75,51,6
641,36,5.56,32.5,46,6
642,23,4.56,30.25,32,5
643,20,6.22,31.25,62,7
644,23,5.56,31.75,32,6
645,29,4.56,24.25,57,6
646,21,4.56,29.25,32,6
647,36,5.56,33.25,34,6
648,24,5.78,35.25,24,6.5
649,23,6.5,35.25,49,6
650,25,6.5,32.5,39,7
651,23,5.11,24.75,47,5.5
652,27,6.22,33.75,61,6
653,27,4.44,28,45,5
654,22,5.72,27.75,63,5
655,24,6.22,38.75,57,6
656,25,5.61,36.75,22,6.5
657,44,4.22,23.5,52,5.5
658,19,6.39,33,48,6.5
659,19,5.06,33.25,53,7
660,22,5.22,34,34,6.5
661,53,5.22,32.25,29,6
662,46,4.17,33.25,32,6.5
663,21,5.67,28.25,49,6
664,42,4.33,23.75,50,5
665,34,5.83,30.5,45,6.5
666,18,6.61,37.25,31,6
667,29,4.83,31,45,6
668,24,5.11,38.75,51,3.5
669,30,5.72,30.5,41,5
670,22,5.39,35,50,6
671,19,6.44,35,52,6.5
672,22,4.5,28,58,6
673,37,4.61,29.5,49,6
674,33,5.61,37,42,6.5
675,22,5.89,33.25,59,7
676,38,5.56,32.75,33,4
677,28,6.78,37.5,52,7
678,23,5.61,37.75,32,6
679,41,5.61,37,31,7
680,19,4.72,28,45,5.5
681,32,6.44,34.5,33,4.5
682,28,5.44,33.25,48,4.5
683,22,6.33,32.75,52,5.5
684,18,5.61,33,51,5.5
685,27,6.22,33,61,3.5
686,19,5.83,31,43,6.5
687,28,5.11,39,27,7
688,20,5.33,35.25,40,5.5
689,20,5.56,38.75,32,5.5
690,26,6.06,33.25,33,6
691,19,6.28,34,32,4
692,24,5.44,30.75,61,5
693,21,5.22,32.5,44,6.5
694,24,5,30,38,7
695,27,5.11,31,39,6
696,24,5.11,35,34,7
697,25,5.83,35.5,59,5
698,25,6.11,38.25,42,7
699,28,4.67,28.5,51,4
700,28,5.61,37,56,6.5
701,31,6.11,29.75,45,7
702,54,5.5,37.75,31,7
703,24,5.61,32.5,47,6
704,23,6.28,33.25,37,6.5
705,35,4.89,32.5,45,5.5
706,28,5.28,34.25,45,4.5
707,21,5.67,34.5,34,4.5
708,48,5.5,31.5,36,4.5
709,20,5,31.25,45,6.5
710,28,4.56,27.75,51,4.5
711,26,6.11,25.75,46,6.5
712,48,5.83,36.75,63,4.5
713,18,6.28,35.25,51,5.5
714,26,5.17,33.5,46,5.5
715,28,5.94,34.75,34,6.5
716,19,5.56,34,39,6
717,23,5.33,31.25,57,6
718,22,6.44,31.75,60,5
719,20,4.33,24.5,62,5.5
720,18,4.28,28.75,43,4.5
721,28,5.33,31.25,43,6
722,29,5.44,26,41,5.5
723,21,6.67,33.75,38,7
724,26,3.61,22.5,58,6.5
725,21,5.94,34.25,59,6.5
726,21,5.61,33,45,5.5
727,27,5.39,29.25,56,5.5
728,28,5.78,39.75,67,7
729,21,5.83,32.25,43,6
730,28,5.39,29.25,42,6
731,28,5,29,47,5
732,22,5.89,33.75,64,7
733,24,5.94,37.5,34,7
734,28,5.78,28.08,44,6
735,23,5.17,31,44,7
736,23,5.28,31.75,55,5.5
737,25,5.56,37.75,38,6.5
738,25,6.67,30.5,54,6
739,22,6.39,41.25,37,7
740,23,6.72,43.5,29,6
741,28,6.06,35.75,40,7
742,41,4.06,31.75,37,6
743,23,6.06,35.75,66,6.5
744,24,4.83,29.75,43,5.5
745,21,6.28,35.5,40,6
746,25,5.39,32.25,55,6.5
747,18,5.06,34.75,48,6
748,45,3.78,26.75,58,4
749,25,4.94,28.75,41,5.5
750,24,4.61,30.75,51,7
751,22,4.94,35,25,6.5
752,44,5.11,31.5,44,5
753,21,5.94,30,62,6.5
754,18,4.28,25.75,66,4
755,18,5.22,30.25,64,6.5
756,26,5,31.75,58,5
757,21,6.17,36.5,57,6.5
758,24,5.83,32.5,66,5
759,25,6.22,27,57,6.5
760,26,6.56,44.5,61,7
761,26,5.89,38.75,53,6.5
762,20,5.89,37.5,38,6.5
763,29,3.22,27.5,61,5.5
764,22,4.83,31.25,37,5.5
765,25,4.89,29.5,57,6
766,22,6.28,35.5,53,7
767,73,6.83,41.25,21,7
768,26,4.33,33.75,52,3.5
769,21,5.17,34.5,46,7
770,23,4.83,32.5,39,6
771,23,6,31,73,7
772,23,5.39,32.25,48,6
773,21,6.17,35.25,63,6
774,19,5.11,35,54,6.5
775,18,4.67,31.75,61,5.5
776,20,5.67,33,37,6
777,23,5.44,29.75,64,6.5
778,28,6.28,41.75,43,7
779,25,6,37.75,53,5
780,28,5.67,35.25,31,7
781,26,6.22,39.25,56,7
782,18,6,30.75,55,6.5
783,22,6.33,39.5,45,7
784,27,5.94,35.5,54,6.5
785,26,6.5,38,42,7
786,21,5.06,21.75,54,5.5
787,36,6.44,43.25,29,7
788,22,5.67,36,40,5.5
789,22,5.83,39,79,5
790,32,5.72,36.5,25,6.5
791,21,6.61,37.75,41,6.5
792,24,5.5,30.25,60,6.5
793,32,5.83,35,44,6
794,27,6.11,36.25,46,7
795,19,5.78,37,68,6.5
796,48,5.78,39,39,6.5
797,32,4.78,25,60,4.5
798,24,5.83,34,63,4.5
799,30,4.44,27,49,7
800,30,6.11,34,52,6
801,31,4.78,34,54,6.5
802,29,5.5,36.75,29,6.5
803,28,6.56,33.25,54,6.5
804,22,5.39,26,60,7
805,23,6.11,34.25,45,6.5
806,21,6.22,41.25,57,7
807,30,6.72,45,20,7
808,30,6.17,35.75,40,6
809,34,5.72,32,36,6.5
810,32,6.83,41,38,5.5
811,45,5.83,30.75,23,6.5
